ticker,passes_all_filters,rs_slope_10d,rs_slope_50d,velocity_increasing,current_rs_ratio,vcp_active,current_norm_range,avg_range_20d,contraction_ratio,current_price,sma_200,above_200sma,price_vs_sma_pct,avg_volume_20d,liquidity_ok
FN,False,0.012020036380427417,0.001103671221746122,True,0.7707248024121575,False,0.05458461667177248,0.04439807814252594,1.229436474627255,528.1699829101562,328.10024995727537,True,60.97823240882432,480247.85,False
DY,False,0.011031045234594524,0.0011632431458919647,True,0.5290244223649746,False,0.04163505044543758,0.04048770187160203,1.0283381995222678,355.83,240.12060000000002,True,48.18803551215511,430752.7,False
ETHD,False,0.010477425327761287,0.001059604862582462,True,0.07748137959291182,False,0.08919722497522303,0.11435243079921767,0.780020366439235,40.36,21.232425,True,90.08662458480367,19344059.55,True
FIX,False,0.007600806839680617,0.002233421309541849,True,1.4956005148296758,False,0.048686688950702973,0.04136771064949467,1.176924905591741,1024.9200439453125,679.4079501953124,True,50.85487940650006,380774.15,False
EXAS,True,0.006411556480285176,0.0011795069119526643,True,0.14821697712872592,True,0.007802469135802531,0.024069932320071902,0.32415833297944324,101.25,55.8297,True,81.35508519658889,10796373.2,True
EAT,False,0.006317289131570214,-0.0002801355363460569,True,0.22503987474209455,False,0.04950495049504951,0.04820001870685003,1.027073263106722,136.35,147.98805000000002,False,-7.864182276879806,1795201.0,True
FCNCA,False,0.0062760037265015755,0.0008669772997844876,True,2.7479038323651213,False,0.04319147694671635,0.02233601630897666,1.9337144255825982,2056.54,1871.5126750000002,True,9.886511989559455,95052.55,False
FICO,False,0.00519590241025802,0.005309240279355782,False,2.642458918040943,False,0.031713692188284674,0.02946427767423282,1.0763437861576706,1752.24,1711.12295,True,2.4029278550673494,164873.4,False
EXP,False,0.003395186699380144,-0.0011027735863258635,True,0.3273679743631016,False,0.03896161724107222,0.024738751401747267,1.5749225419000092,224.58,221.07065000000003,True,1.587433700493479,402184.95,False
FIVE,False,0.0030306209426477137,8.632781181991831e-07,True,0.2412824302374925,False,0.025795890720253,0.03892690130147679,0.6626751644183497,177.16,124.035275,True,42.83033596692554,1516862.75,True
ECL,False,0.0025516934111493718,-0.0004728049338719373,True,0.4026397810913242,False,0.025247620897261496,0.018096539273551173,1.3951629378199355,257.45,263.50410000000005,False,-2.2975354083674793,1526192.65,True
EEV,False,0.0021226039799920747,0.00016961800846575405,True,0.028947453138032455,False,0.01828228640342656,0.013271786804996641,1.3775301451153161,19.2372,13.347502500000001,True,44.12583927217846,9522.45,False
FBT,False,0.0020657145695980803,0.0008620481901120622,True,0.313748518415546,False,0.011315551752008726,0.015525915610656246,0.7288170331315129,210.33,173.4973535,True,21.229514892859736,31368.3,False
EVR,False,0.0019138726080972404,-0.001389124767570924,True,0.4683562826497315,False,0.035662112377803014,0.03908644311957478,0.9123908325120319,344.73,272.6492,True,26.437194754284988,351149.2,False
FANG,False,0.0016404184393716695,0.0002185954302352465,True,0.2312998666143865,False,0.02972922385824816,0.0284137054778044,1.0462987265589625,160.28,143.59660002441407,True,11.618241638555116,1699102.9,True
FERG,False,0.0014700707630472057,0.0005037511659734946,True,0.3682670217591712,False,0.03337368148020058,0.02454978995113486,1.3594283921218568,231.32,209.9247,True,10.191892616733522,1695965.8,True
FNV,False,0.0013557664259254872,-0.0009118069528809123,True,0.3070574635274148,False,0.04265582916506349,0.02870997872807572,1.4857492431142072,207.92,176.99055,True,17.475198534611014,686758.15,True
FAS,False,0.001306465841917449,-0.000762356997957512,True,0.24540891730929631,False,0.050380821575727264,0.03843617003544849,1.3107659147428734,160.18,160.03125,True,0.09295059558680485,538379.15,True
ENVA,False,0.00120491457202235,0.00030858229722531517,True,0.19182311710736183,False,0.04547383309759552,0.030468362061200294,1.49249352512795,141.4,107.9901,True,30.937928569378137,190904.95,False
ELV,False,0.0011090791051056928,-0.0005289585097554641,True,0.4949735875561539,False,0.046328876378137325,0.028742824834227403,1.6118414472250542,341.04,357.88620000000003,False,-4.707138749691941,1547518.65,True
ENSG,False,0.0010963093072391612,0.00035071455922836535,True,0.27149943663208415,False,0.012904712524484276,0.02435523001294188,0.5298538555220776,173.58,155.1458,True,11.881855648042027,343585.95,False
FFIV,False,0.0010734074769473705,-0.004134845251726564,True,0.34996122272787134,False,0.01921884686918799,0.024951166825988642,0.7702584413475212,258.08,286.473675,False,-9.911442997336506,1222060.6,True
EL,False,0.0010008797316136324,2.3908633431028785e-05,True,0.13765199959027788,False,0.045348620432513004,0.03101991776358909,1.461919427966467,107.28,80.31445,True,33.57496689574542,3305814.0,True
EXPD,False,0.000961072392446899,0.0008104684721898972,True,0.21495778398864485,False,0.026494879418566177,0.020088157302572678,1.3189303040340588,151.35,119.9183,True,26.210928607226734,1413358.8,True
FBYD,False,0.0009565262057503553,5.115293156525236e-05,True,0.029880448938380724,False,0.16893089190785585,0.17985070335768602,0.9392840214357521,16.93,9.0673875,True,86.71309679882985,120700.6,False
FND,False,0.0009489810226372755,-0.0006774865263995998,True,0.09309471897452407,False,0.03986442866365395,0.040660525922204996,0.9804208814201223,61.96,76.17259999999999,False,-18.658415230673487,2411485.85,True
ESQ,False,0.0008771546485894181,-0.00024283064020293798,True,0.14934371296038865,False,0.030829332580250318,0.02802685647043161,1.0999925236986647,106.23,92.23604999999999,True,15.171887781404347,71411.0,False
EYE,False,0.000860881339785614,-9.621507312272086e-05,True,0.042216011355155916,False,0.05397148676171079,0.04935973829597611,1.0934313800061342,29.46,21.2869,True,38.3949753134557,1659852.65,True
