ticker,passes_all_filters,rs_slope_10d,rs_slope_50d,velocity_increasing,current_rs_ratio,vcp_active,current_norm_range,avg_range_20d,contraction_ratio,current_price,sma_200,above_200sma,price_vs_sma_pct,avg_volume_20d,liquidity_ok
BKNG,False,0.03010466270679885,-0.01850253189897748,True,7.579285129662655,False,0.03466206443759585,0.027189619757578342,1.2748271122083188,5197.0400390625,5199.581400390625,False,-0.04887626776906018,300617.85,False
ASML,False,0.021149568458619733,0.0017340735029472225,True,1.6034504904380273,False,0.02830454304930754,0.03018700878442192,0.9376398718880079,1099.469970703125,820.2175499511719,True,34.046140657265525,1626557.55,True
MDB,False,0.014306850243363724,0.0009436978052071875,True,0.597383648089853,False,0.04323517324883397,0.042620713647822245,1.0144169242704157,409.6199951171875,257.033475,True,59.364454422595145,2943724.45,True
SNPS,False,0.011928622451175808,-0.0025038486895185065,True,0.6807157871687224,True,0.014461393133035088,0.03331757120795176,0.43404703910660963,466.760009765625,487.9576500854492,False,-4.344155751244427,2277737.3,True
MELI,False,0.011772195606793953,-0.008206133525958781,True,3.0136357749383698,False,0.05418064341729308,0.034585910604075704,1.566552462288163,2066.419921875,2273.1694500976564,False,-9.095209695598117,557542.05,True
KLAC,False,0.011449598876725262,0.00185828479092295,True,1.7711501649628885,False,0.022792067751307286,0.03659520464843745,0.6228156932107898,1214.4599609375,923.9392020996094,True,31.44370951873192,958327.9,True
ADI,True,0.006566293815043597,0.00041208445386185343,True,0.4102291232822207,True,0.014575617552668018,0.02993504426085596,0.4869081677533235,281.2900085449219,228.42492509765623,True,23.143307773731237,4757817.3,True
META,False,0.00655730831297853,-0.00464125231112111,True,0.9821055878202067,False,0.018264958131795954,0.022605482141775424,0.8079879923481885,673.4199829101562,670.9973747924805,True,0.3610458414125661,18881833.1,True
NXPI,True,0.006280661621987296,-0.0009574408945717424,True,0.33243885157523645,True,0.013906550609277197,0.03727848279653905,0.3730449730257876,227.9499969482422,210.14505004882812,True,8.472693929872243,3483214.45,True
AMAT,False,0.006274669251646472,0.0011254825251569736,True,0.3908471744458622,False,0.023246309650478077,0.04241337177440015,0.548089168060651,268.0,184.49407496948243,True,45.262117520213295,8566173.2,True
DASH,False,0.005683216221035326,-0.0029738798843858484,True,0.3281366203370112,False,0.03213338216145846,0.04542017819910966,0.7074693106793745,225.0,224.1455499786377,True,0.3812032054367087,7427241.05,True
CDNS,True,0.005106052107304894,-0.0009829208496591442,True,0.49224868027463997,True,0.014457988624600515,0.02897795131131936,0.4989306686754263,337.5299987792969,315.2863248596191,True,7.05507095164426,1774688.8,True
TSLA,True,0.004813998590753421,-0.000909256238466983,True,0.6635651655704005,True,0.0158461538461538,0.036540668809011564,0.43365801345830496,455.0,353.44090000610356,True,28.734393781857914,77430311.4,True
ANSS,False,0.004721055536686124,0.00011552361238924283,True,0.5996283361635321,False,0.05530323270104191,0.01947525327507336,2.839666931152329,374.3,334.66759999999994,True,11.842317571225912,1882556.95,True
VRTX,False,0.0035304964137781803,0.0010445472534012365,True,0.6642652063827487,False,0.01655398340883108,0.02539019794685322,0.6519832355573553,455.4800109863281,442.0973000061035,True,3.027096293064857,1485085.45,True
MU,False,0.0034829831146482373,0.0017011431477618859,True,0.3771541971167792,False,0.043720511589205945,0.05234495815978529,0.8352382564858903,258.4599914550781,139.73367500305176,True,84.96614466729899,21589990.8,True
TXN,False,0.0033498298234026134,-0.0006358873174575316,True,0.2662135843255659,False,0.022625122033119092,0.03158406612420088,0.7163460823615388,182.5399932861328,181.9940499633789,True,0.2999786657111869,7622415.65,True
ODFL,False,0.003206632416258826,-0.00010936127090022054,True,0.22626842063333466,False,0.023847870407979616,0.034976532804756995,0.6818248835898388,155.14999389648438,153.33279266357422,True,1.1851354177688789,2649422.45,True
MRVL,False,0.003073709705684565,7.347364419730965e-05,True,0.14424886364091544,False,0.05388738887587869,0.055070364328526564,0.9785188373624925,98.91000366210938,73.86352500457764,True,33.90912992032198,23653567.75,True
COIN,False,0.0030007965467201345,-0.0038823746423022444,True,0.3933701964823049,False,0.03351491365119902,0.0562432654788098,0.5958920301991728,269.7300109863281,282.9130000915527,False,-4.659732532954819,10479918.0,True
MCHP,True,0.002382120787410136,-0.00044372212235625687,True,0.09597631192561738,True,0.021425255812529968,0.043203715300811255,0.49591234604139833,65.80999755859375,60.28472499389649,True,9.165294467639473,10866148.05,True
DLTR,False,0.002363598218909156,0.0006256608427263519,True,0.1785646604230153,False,0.08297944674553129,0.038586728451714104,2.1504659782020252,122.44000244140624,94.74750000305177,True,29.227686680347766,4229732.8,True
LULU,False,0.0019122102684485905,-3.419177408572617e-05,True,0.2771077219010099,False,0.03805068783404434,0.030639772959111623,1.2418723821753668,190.009994506836,231.84642500610352,False,-18.044889196875104,3158805.7,True
FANG,False,0.0016404184393716695,0.0002185954302352465,True,0.2312998666143865,False,0.03745272517536543,0.029848445703180265,1.2547629966331866,158.60000610351562,143.46170002441409,True,10.552158573699689,1713043.4,True
ADSK,True,0.0015423906862688183,-0.0008033232985878669,True,0.44734499430095837,True,0.011508114010826109,0.023867871914607836,0.48215919927837414,306.739990234375,293.37922490844727,True,4.554093879720744,1651196.0,True
AVGO,False,0.0015177382772105167,0.0011714995920545526,True,0.5691201400704714,False,0.021486255515592412,0.04094114779112909,0.5248083328100522,390.239990234375,278.6653498413086,True,40.03893575451871,23371400.8,True
