ticker,passes_all_filters,rs_slope_10d,rs_slope_50d,velocity_increasing,current_rs_ratio,vcp_active,current_norm_range,avg_range_20d,contraction_ratio,current_price,sma_200,above_200sma,price_vs_sma_pct,avg_volume_20d,liquidity_ok
ULTA,True,0.011661678693462744,-0.00019052933950805244,True,0.8735837805605247,True,0.01548322650461992,0.03300380534956677,0.469134584349473,600.65,468.51134999999994,True,28.203937855507675,868554.15,True
TPL,False,0.006155026396925485,-0.0020230527166951286,True,1.298049653126227,False,0.03360784313725491,0.036937875136255884,0.909847765018502,892.5,1075.6889,False,-17.02991450409129,131584.75,False
ULTY,False,0.0051373787803267856,0.0007896791021408311,True,0.058335878528731615,False,0.013587634006482217,0.023705015555515702,0.5731965868008315,40.11,7.1851,True,458.23857705529497,18993923.35,True
TSLY,False,0.004375268483436883,0.0006937635508668435,True,0.05692511307939555,False,0.025291262135922477,0.03207504743609395,0.7885027196393886,39.14,9.5319,True,310.62117730987524,20641595.2,True
VGT,False,0.004361488548013873,-0.0005763395961033779,True,1.1332082551594747,False,0.014939165254889865,0.020193919030022416,0.7397853399669337,779.16,662.4516,True,17.61764934977892,551050.85,True
TER,False,0.004200220176132708,0.001744881921245777,True,0.29671160754541354,False,0.02878780451938626,0.04205831943116449,0.6844734860721752,204.01,112.37604999999999,True,81.54224142955728,3223903.4,True
TTAN,False,0.0038471389773340183,-0.0002197071264218766,True,0.1555768867169888,False,0.02701692063195289,0.043979572026587616,0.6143061286640069,106.97,104.60880000000002,True,2.2571714807931853,1213182.5,True
TDY,False,0.0034364962840009194,-0.003198486178223386,True,0.75075992262606,False,0.018112940720651,0.02149741459805645,0.8425636784382697,516.2,517.0998,False,-0.17400896306668523,419159.75,False
TGL,False,0.0031489640955096156,0.0001967636302566387,True,0.013714967203339295,False,0.3340402969247082,0.34159555356424326,0.9778824502816189,9.43,1.4245500000000002,True,561.9634270471375,3111102.25,True
TSEM,True,0.00289176318720364,0.0014832386429087813,True,0.1839958113355731,True,0.023318314757726572,0.05471178115010862,0.42620280801587973,126.51,56.5132,True,123.8592045752143,1848518.6,True
TERN,False,0.0027747714905269885,0.0009670697223785818,True,0.06488066669575461,False,0.13270567137413125,0.09480971762926275,1.399705375065604,44.61,7.863475000000001,True,467.3064389471575,4840647.55,True
TFX,False,0.0024571135614782098,-0.0005141855110145972,True,0.18979885684366682,False,0.05091954022988514,0.03438877618317563,1.480702307016003,130.5,124.7424,True,4.615591811605357,728040.55,True
TFII,False,0.002410872740047441,-5.5690820756607965e-05,True,0.14703957415244992,False,0.03639960435212654,0.028577305132981495,1.2737241731767497,101.1,87.9584,True,14.940699239640566,283058.25,False
TEL,False,0.0023908615607609648,-0.0002709443680595724,True,0.35506203004784964,False,0.03608733052062427,0.030976571576833332,1.1649878822488269,244.13,190.8608499938965,True,27.90994067552721,2405654.15,True
TSM,False,0.0023731897036241498,-0.00015350519750057822,True,0.44484818963944023,False,0.020272240616858495,0.022655921565060404,0.8947877294968225,304.8500061035156,235.39295006713866,True,29.506854821508654,9949951.75,True
SYNA,False,0.002322761187542473,6.720528518194507e-05,True,0.11822796224384427,False,0.031984253905769394,0.03843584494192777,0.8321465016339304,81.29,64.959475,True,25.139558162993183,492954.0,False
VERA,False,0.0022559732868958505,0.00025655182961777654,True,0.06448797940573324,False,0.06066756878664857,0.07750242978431973,0.7827827973326691,44.34,25.513925,True,73.7874513623443,1884703.05,True
TECL,False,0.0020504335071386518,-0.00025749272448527717,True,0.19029335194961966,False,0.05029043106083776,0.061347459015932325,0.819763880485694,130.84,94.75675000000001,True,38.07987293781181,1592800.75,True
VICR,False,0.0019623098246907035,0.001456800759228168,True,0.14664688686242855,False,0.03768719627095108,0.0534627700427963,0.7049241227265803,100.83,55.958425,True,80.18734444366511,306624.1,False
TTMI,False,0.001640160813929866,0.0004636417030490946,True,0.11300667568393036,False,0.04774774774774785,0.06991985584713364,0.6828925370232334,77.7,42.079724999999996,True,84.64949568943241,2178590.8,True
