ticker,passes_all_filters,rs_slope_10d,rs_slope_50d,velocity_increasing,current_rs_ratio,vcp_active,current_norm_range,avg_range_20d,contraction_ratio,current_price,sma_200,above_200sma,price_vs_sma_pct,avg_volume_20d,liquidity_ok
ASML,False,0.0211495684586197,0.0017340735029472,True,1.6034504904380271,False,0.0224064610656469,0.0284528994248301,0.7874930681438156,1119.32,828.3928499511718,True,35.11946657506475,1544147.85,True
APP,False,0.0088856840006097,-0.0024822505808847,True,0.8772150602145189,False,0.0325719485837788,0.0543033522254125,0.599814693733328,703.28,449.0029250854492,True,56.631496301757856,4128284.45,True
ADI,False,0.0065662938150435,0.0004120844538618,True,0.4102291232822207,False,0.0289192740703909,0.0288781819882442,1.0014229456052106,281.57,229.47297509765627,True,22.702902108700563,4694376.85,True
AZO,False,0.0063080317738374,-0.0161439634137642,True,5.7863445470375625,False,0.0334743198884579,0.0220016821477297,1.5214436634297033,3421.13,3827.2089,False,-10.610314477477312,138219.65,False
AMAT,False,0.0062746692516464,0.0011254825251569,True,0.3908471744458622,False,0.0372160639651099,0.0364257287968818,1.0216971683019778,275.15,186.78777496948243,True,47.3062142556997,7137042.15,True
AGX,False,0.0057033051381383,0.0034080977649317,True,0.5782935073676817,False,0.0475795806857599,0.0711368693433071,0.6688455807092157,325.77,222.8153,True,46.20629732338848,455389.25,False
ANF,False,0.0043984459447449,-0.0003792670076162,True,0.1432125140841979,False,0.0693330842518213,0.0500435241862112,1.3854556684264276,107.06,82.93035,True,29.09628380924474,2620607.3,True
BA,False,0.0035854857483617,-0.0012308778710451,True,0.2944333425758244,False,0.0150966183574879,0.0282436109799644,0.5345144559665977,198.72,202.51924999694825,False,-1.8759945027475131,10986658.55,True
AVL,False,0.0032375462062591,0.0002273490893974,True,0.1080349434437144,False,0.0858141688532181,0.079615529569251,1.077857163263298,64.79,40.480334,True,60.053027230457154,312096.25,False
AVGX,False,0.0029148560987863,0.0001927214912046,True,0.0979235868245072,False,0.0702795698924731,0.0790541682191948,0.8890052412873135,69.75,37.1128375,True,87.94035891219582,601112.1,True
ACN,False,0.002913985229422,0.0001931075609469,True,0.3887908462843183,False,0.0205348615090734,0.0284437211939305,0.7219470817150079,272.22,277.2466999023438,False,-1.8130783537240736,4229758.7,True
AN,False,0.0025793818746992,-0.0008909970373719,True,0.3091792387948316,False,0.0255739479500247,0.025814824899941,0.9906690457576256,221.71,195.60075,True,13.34823613917635,388116.0,False
AYI,False,0.002430280347876,0.000243650066557,True,0.536179926542677,False,0.0219668080992533,0.0312472906199355,0.7029988092868016,372.38,305.25355,True,21.9903912665389,226252.05,False
ABVX,False,0.0024091928474347,0.0012475080381313,True,0.1826629011252725,False,0.0968391750960558,0.0576476286759818,1.6798466358496154,127.53,48.36516,True,163.68154266418227,1667445.65,True
